Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin,Discount Category,Loss Flag
Second Class,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,261.96,2,0.0,41.9136,16.000000000000004,No Discount,Profit
Second Class,Consumer,Henderson,Kentucky,South,Furniture,Chairs,731.94,3,0.0,219.582,30.0,No Discount,Profit
Second Class,Corporate,Los Angeles,California,West,Office Supplies,Labels,14.62,2,0.0,6.8714,47.0,No Discount,Profit
Standard Class,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,957.5775,5,0.45,-383.031,-40.0,High Discount,Loss
Standard Class,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,22.368,2,0.2,2.5164,11.25,Low Discount,Profit
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,48.86,7,0.0,14.1694,28.999999999999996,No Discount,Profit
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,7.28,4,0.0,1.9656,27.0,No Discount,Profit
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,907.152,6,0.2,90.7152,10.0,Low Discount,Profit
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,18.504,3,0.2,5.7825,31.249999999999993,Low Discount,Profit
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Appliances,114.9,5,0.0,34.47,30.0,No Discount,Profit
Standard Class,Consumer,Los Angeles,California,West,Furniture,Tables,1706.184,9,0.2,85.3092,5.0,Low Discount,Profit
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,911.424,4,0.2,68.3568,7.500000000000001,Low Discount,Profit
Standard Class,Consumer,Concord,North Carolina,South,Office Supplies,Paper,15.552,3,0.2,5.4432,35.0,Low Discount,Profit
Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,407.976,3,0.2,132.5922,32.49999999999999,Low Discount,Profit
Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,-180.0,High Discount,Loss
Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,-150.0,High Discount,Loss
Standard Class,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,2.0,No Discount,Profit
Second Class,Consumer,West Jordan,Utah,West,Office Supplies,Storage,55.5,2,0.0,9.99,18.0,No Discount,Profit
Second Class,Consumer,San Francisco,California,West,Office Supplies,Art,8.56,2,0.0,2.4824,28.999999999999996,No Discount,Profit
